2024-02-12 17:31:25,573 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_02_H.wav
2024-02-12 17:31:25,573 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_02_L.wav
2024-02-12 17:31:25,573 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_03_H.wav
2024-02-12 17:31:25,573 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_03_L.wav
2024-02-12 17:31:25,573 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_04_H.wav
2024-02-12 17:31:25,573 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_04_L.wav
2024-02-12 17:31:25,573 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_05_H.wav
2024-02-12 17:31:25,573 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_05_L.wav
2024-02-12 17:31:25,573 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_06_H.wav
2024-02-12 17:31:25,573 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_06_L.wav
2024-02-12 17:31:25,573 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_07_H.wav
2024-02-12 17:31:25,573 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_07_L.wav
2024-02-12 17:31:25,574 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_08_H.wav
2024-02-12 17:31:25,574 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_08_L.wav
2024-02-12 17:31:25,574 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_09_H.wav
2024-02-12 17:31:25,574 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_09_L.wav
2024-02-12 17:31:25,574 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_10_H.wav
2024-02-12 17:31:25,574 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_10_L.wav
2024-02-12 17:31:25,574 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_01_H.wav
2024-02-12 17:31:25,574 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_01_H.wav
2024-02-12 17:31:25,574 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_01_H.wav
2024-02-12 17:31:25,574 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_01_L.wav
2024-02-12 17:31:25,574 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_01_L.wav
