2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: AI_M_Q_06.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: AI_M_Q_07.wav
2023-11-18 21:50:13,061 - root - INFO - get_person 		 - SUCCESS for: AI_M_Q_07.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: AI_M_Q_07.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_A_01.wav
2023-11-18 21:50:13,061 - root - INFO - get_person 		 - SUCCESS for: TEST2_M_A_01.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_A_01.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_A_02.wav
2023-11-18 21:50:13,061 - root - INFO - get_person 		 - SUCCESS for: TEST2_M_A_02.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_A_02.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_A_03.wav
2023-11-18 21:50:13,061 - root - INFO - get_person 		 - SUCCESS for: TEST2_M_A_03.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_A_03.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_A_04.wav
2023-11-18 21:50:13,061 - root - INFO - get_person 		 - SUCCESS for: TEST2_M_A_04.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_A_04.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_I_01.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_I_02.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_I_03.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_I_04.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_Q_01.wav
2023-11-18 21:50:13,061 - root - INFO - get_person 		 - SUCCESS for: TEST2_M_Q_01.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_Q_01.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_Q_02.wav
2023-11-18 21:50:13,061 - root - INFO - get_person 		 - SUCCESS for: TEST2_M_Q_02.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_Q_02.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_Q_03.wav
2023-11-18 21:50:13,061 - root - INFO - get_person 		 - SUCCESS for: TEST2_M_Q_03.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_Q_03.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_Q_04.wav
2023-11-18 21:50:13,061 - root - INFO - get_person 		 - SUCCESS for: TEST2_M_Q_04.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST2_M_Q_04.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST_M_A_01.wav
2023-11-18 21:50:13,061 - root - INFO - get_person 		 - SUCCESS for: TEST_M_A_01.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST_M_A_01.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST_M_A_02.wav
2023-11-18 21:50:13,061 - root - INFO - get_person 		 - SUCCESS for: TEST_M_A_02.wav
